Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
05/13/2022,0.67,0.79,1.03,1.47,2.04,2.61,2.79,2.89,2.95,2.93,3.32,3.10
05/12/2022,0.61,0.77,0.96,1.44,1.96,2.56,2.73,2.81,2.86,2.84,3.22,3.00
05/11/2022,0.59,0.77,0.91,1.43,1.99,2.66,2.81,2.89,2.94,2.91,3.25,3.05
05/10/2022,0.57,0.75,0.89,1.44,2.01,2.62,2.81,2.91,2.99,2.99,3.31,3.12
05/09/2022,0.51,0.73,0.92,1.43,1.99,2.61,2.81,2.95,3.04,3.05,3.38,3.19
05/06/2022,0.48,0.72,0.85,1.41,2.08,2.72,2.94,3.06,3.13,3.12,3.43,3.23
05/05/2022,0.49,0.71,0.85,1.37,2.08,2.71,2.91,3.01,3.07,3.05,3.35,3.15
05/04/2022,0.49,0.74,0.89,1.44,2.07,2.66,2.85,2.93,2.97,2.93,3.21,3.01
05/03/2022,0.48,0.77,0.91,1.45,2.16,2.78,2.95,3.01,3.03,2.97,3.21,3.03
05/02/2022,0.41,0.71,0.90,1.49,2.10,2.73,2.93,3.01,3.04,2.99,3.26,3.07
